CI Name (aff);CI Type (aff);CI Subtype (aff);Service Component WBS (aff);Incident ID;Status;Impact;Urgency;Priority;Category;KM number;Alert Status;# Reassignments;Open Time;Reopen Time;Resolved Time;Close Time;Handle Time (Hours);Closure Code;# Related Interactions;Related Interaction;# Related Incidents;# Related Changes;Related Change;CI Name (CBy);CI Type (CBy);CI Subtype (CBy);ServiceComp WBS (CBy);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000508;subapplication;Web Based Application;WBS000162;IM0000004;Closed;4;4;4;incident;KM0000553;closed;26;05/02/2012 13:32:57;;04/11/2013 13:50:27;04/11/2013 13:51:17;3871,691111;Other;1;SD0000007;2;;;SUB000508;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000005;Closed;3;3;3;incident;KM0000611;closed;33;12/03/2012 15:44:24;02/12/2013 12:31:02;02/12/2013 12:36:21;02/12/2013 12:36:25;4354,786389;Software;1;SD0000011;1;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000024;application;Desktop Application;WBS000092;IM0000006;Closed;3;3;3;request for information;KM0000339;closed;3;29/03/2012 12:36:01;;13/01/2014 15:12:38;13/01/2014 15:13:11;4843,119444;No error - works as designed;1;SD0000017;;;;DTA000024;application;Desktop Application;WBS000092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000011;Closed;4;4;4;incident;KM0000611;closed;13;17/07/2012 11:49:00;;14/11/2013 09:31:09;14/11/2013 09:31:24;43,21833333;Operator error;1;SD0000025;;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000012;Closed;4;4;4;incident;KM0000611;closed;2;10/08/2012 11:01:40;;08/11/2013 13:55:49;08/11/2013 13:55:52;3383,903333;Other;1;SD0000029;;;;SUB000508;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000013;Closed;4;4;4;incident;KM0000611;closed;4;10/08/2012 11:27:59;;08/11/2013 13:54:07;08/11/2013 13:54:12;3383,436944;Other;1;SD0000031;;;;SUB000508;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000014;Closed;4;4;4;incident;KM0000401;closed;2;15/08/2012 14:17:55;;27/12/2013 10:59:28;27/12/2013 10:59:32;3703,191389;Unknown;1;SD0000033;;;;WBA000082;application;Web Based Application;WBS000055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000015;Closed;4;4;4;incident;KM0000611;closed;5;22/08/2012 16:31:42;;08/11/2013 14:09:05;08/11/2013 14:09:09;3294,624167;Other;1;SD0000034;;;;WBA000124;application;Web Based Application;WBS000088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000017;Closed;3;3;3;incident;KM0000611;closed;2;29/08/2012 15:59:14;;08/11/2013 14:02:06;08/11/2013 14:02:20;0,862777778;Other;1;SD0000036;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000018;Closed;4;4;4;incident;KM0000401;closed;2;03/09/2012 16:04:05;;08/11/2013 14:33:43;08/11/2013 14:35:42;3211,526944;No error - works as designed;1;SD0000037;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000019;Closed;4;4;4;incident;KM0000611;closed;6;21/09/2012 12:56:57;;08/11/2013 14:23:09;08/11/2013 14:23:54;3067,449167;Software;1;SD0000040;;1;C00000056;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000020;Closed;4;4;4;incident;KM0000611;closed;8;01/10/2012 10:49:49;;08/11/2013 14:18:14;08/11/2013 14:22:05;1322,619167;Software;1;SD0000042;;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000021;Closed;4;4;4;incident;KM0000401;closed;5;02/10/2012 12:12:39;28/01/2014 14:07:43;04/02/2014 09:38:28;04/02/2014 09:38:47;1132,428333;Software;2;#MULTIVALUE;;;;WBA000082;application;Web Based Application;WBS000055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000124;application;Web Based Application;WBS000088;IM0000022;Closed;4;4;4;incident;KM0000611;closed;17;15/10/2012 15:50:52;;;14/11/2013 13:33:35;66,75416667;Software;1;SD0000043;2;;;WBA000109;application;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SBA000698;application;Server Based Application;WBS000090;IM0000023;Closed;3;3;3;incident;KM0000670;closed;1;18/10/2012 14:33:14;;12/12/2013 10:23:43;12/12/2013 10:24:43;3114,358056;Data;1;SD0000045;;;;HMD000012;hardware;MigratieDummy;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000024;Closed;4;4;4;incident;KM0000401;closed;3;23/10/2012 12:01:00;;08/11/2013 14:57:45;08/11/2013 14:58:02;2837,950556;Other;1;SD0000046;2;;;#N/B;#N/B;#N/B;#N/B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000539;subapplication;Web Based Application;WBS000073;IM0000028;Closed;4;4;4;incident;KM0000852;closed;1;21/11/2012 11:53:37;;20/12/2013 11:30:57;20/12/2013 11:31:08;1223,748333;Other;1;SD0000053;;;;SUB000539;subapplication;Web Based Application;WBS000073;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB000535;subapplication;Web Based Application;WBS000066;IM0000031;Closed;4;4;4;incident;KM0000928;closed;7;05/12/2012 15:17:24;;30/10/2013 08:45:11;30/10/2013 08:45:52;37,92777778;Unknown;1;SD0000055;;;;SUB000508;subapplication;Web Based Application;WBS000162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DTA000616;application;Desktop Application;WBS000092;IM0000033;Closed;3;3;3;incident;KM0001430;closed;17;07/12/2012 14:34:52;;30/11/2013 10:39:06;30/11/2013 10:39:09;2626,733889;Other;2;#MULTIVALUE;;;;DTA000616;application;Desktop Application;WBS000092;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WBA000082;application;Web Based Application;WBS000055;IM0000034;Closed;5;5;5;incident;KM0000401;closed;5;10/12/2012 14:44:09;11/02/2014 14:50:29;28/03/2014 14:20:27;28/03/2014 14:20:30;931,7808333;Other;2;#MULTIVALUE;;;;WBA000082;application;Web Based Application;WBS000055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
