CI Name (aff);CI Type (aff);CI Subtype (aff);Service Comp WBS (aff);Interaction ID;Status;Impact;Urgency;Priority;Category;KM number;Open Time (First Touch);Close Time;Closure Code;First Call Resolution;Handle Time (secs);Related Incident
SBA000243;application;Server Based Application;WBS000125;SD0000001;Closed;5;4;4;incident;KM0000987;9-9-2011 9:23;14-2-2014 9:05;Other;N;239;IM0000001
SUB000443;subapplication;Web Based Application;WBS000125;SD0000002;Closed;4;4;4;request for information;KM0000989;29-9-2011 14:59;13-12-2013 16:27;Software;N;406;IM0000001
LAP000110;computer;Laptop;WBS000187;SD0000003;Closed;4;4;4;incident;KM0000317;13-10-2011 15:47;21-10-2013 5:01;Software;N;738;
DTA000110;application;Desktop Application;WBS000256;SD0000004;Closed;4;4;4;incident;KM0000057;1-12-2011 15:39;21-10-2013 5:02;Unknown;N;787;
SBA000855;application;Server Based Application;WBS000054;SD0000005;Closed;4;4;4;incident;KM0000652;23-12-2011 16:23;21-10-2013 5:02;Software;N;459;IM0000003
SUB000424;subapplication;Web Based Application;WBS000073;SD0000006;Closed;4;4;4;incident;KM0000702;16-1-2012 14:09;21-10-2013 5:03;Other;N;412;
SUB000508;subapplication;Web Based Application;WBS000162;SD0000007;Closed;4;4;4;incident;KM0000553;5-2-2012 13:26;4-11-2013 13:51;Other;N;363;IM0000004
DTA000616;application;Desktop Application;WBS000092;SD0000008;Closed;3;3;3;incident;KM0000988;9-2-2012 12:38;21-10-2013 5:03;Software;N;374;
CBD000079;computer;Banking Device;WBS000147;SD0000009;Closed;2;2;2;incident;KM0000132;15-2-2012 15:46;21-10-2013 5:04;Hardware;N;272;
SBA000207;application;Server Based Application;WBS000123;SD0000010;Closed;3;3;3;incident;KM0000488;27-2-2012 7:52;17-1-2014 10:41;Other;N;295;
WBA000124;application;Web Based Application;WBS000088;SD0000011;Closed;3;3;3;incident;KM0000611;12-3-2012 15:35;2-12-2013 12:37;Software;N;507;IM0000005
SBA000588;application;Server Based Application;WBS000054;SD0000012;Closed;4;4;4;request for information;KM0000641;12-3-2012 17:11;21-10-2013 5:08;Other;N;248;
SUB000424;subapplication;Web Based Application;WBS000073;SD0000013;Closed;4;4;4;incident;KM0000702;13-3-2012 14:05;21-10-2013 5:08;Software;N;740;
DTA000024;application;Desktop Application;WBS000093;SD0000014;Closed;5;5;5;incident;KM0000338;23-3-2012 9:40;21-10-2013 5:09;Operator error;N;463;
DTA000616;application;Desktop Application;WBS000092;SD0000015;Closed;5;5;5;incident;KM0000506;23-3-2012 11:23;21-10-2013 5:10;Hardware;N;906;
CBD000125;computer;Banking Device;WBS000147;SD0000016;Closed;2;2;2;incident;KM0000132;29-3-2012 10:33;21-10-2013 5:11;Hardware;N;292;
WBA000071;application;Web Based Application;WBS000085;SD0000018;Closed;5;5;5;request for information;KM0000400;13-4-2012 12:06;21-10-2013 5:11;Hardware;N;440;
SUB000545;subapplication;Web Based Application;WBS000073;SD0000019;Closed;4;4;4;incident;KM0001201;22-5-2012 17:08;27-11-2013 15:59;Software;N;924;IM0000007
WBA000103;application;Web Based Application;WBS000073;SD0000020;Closed;4;4;4;incident;KM0001081;30-5-2012 10:58;27-11-2013 15:58;Other;N;651;#MULTIVALUE
DTA000033;application;Desktop Application;WBS000234;SD0000021;Closed;3;3;3;incident;KM0000899;6-6-2012 8:06;21-10-2013 5:12;Software;N;2928;
DTA000031;application;Desktop Application;WBS000111;SD0000022;Closed;5;5;5;incident;KM0001175;11-6-2012 15:02;21-10-2013 5:13;Hardware;N;1108;IM0000008
LAP000905;computer;Laptop;WBS000091;SD0000023;Closed;5;5;5;request for information;KM0000558;11-6-2012 15:53;7-2-2014 12:20;Other;N;273;
NET000381;networkcomponents;Network Component;WBS000254;SD0000024;Closed;3;3;3;incident;KM0001189;26-6-2012 15:00;17-1-2014 10:41;Other;N;259;
WBA000124;application;Web Based Application;WBS000088;SD0000025;Closed;4;4;4;incident;KM0000611;17-7-2012 11:45;14-11-2013 9:31;Operator error;N;200;IM0000011
WBA000133;application;Web Based Application;WBS000073;SD0000026;Closed;5;5;5;request for information;KM0000792;17-7-2012 11:49;7-2-2014 12:10;Operator error;N;254;
